sentence_id,token,label
24,hơi,I-SYMPTOM
24,liên,I-SYMPTOM
24,tục,I-SYMPTOM
25,Tôi,O
25,bị,O
25,sổ,B-SYMPTOM
25,mũi,I-SYMPTOM
25,và,O
25,cảm,O
25,giác,O
25,giảm,B-SYMPTOM
25,khứu,I-SYMPTOM
25,giác,I-SYMPTOM
26,Gần,O
26,đây,O
26,tôi,O
26,bị,O
26,nặng,B-SYMPTOM
26,xoang,I-SYMPTOM
26,và,O
26,thỉnh,O
26,thoảng,O
26,bị,O
26,sốt,B-SYMPTOM
26,nhẹ,I-SYMPTOM
27,Tôi,O
27,thấy,O
27,mình,O
27,ho,B-SYMPTOM
27,có,I-SYMPTOM
27,đờm,I-SYMPTOM
27,và,O
27,rất,O
27,mệt,B-SYMPTOM
27,mỏi,I-SYMPTOM
28,Tôi,O
28,bị,O
28,chảy,B-SYMPTOM
28,mũi,I-SYMPTOM
28,trong,I-SYMPTOM
28,và,O
28,cổ,O
28,họng,O
28,bị,O
28,ngứa,B-SYMPTOM
29,Tôi,O
29,bị,O
29,nhức,B-SYMPTOM
29,đầu,I-SYMPTOM
29,và,O
29,toàn,B-SYMPTOM
29,thân,I-SYMPTOM
29,đau,I-SYMPTOM
29,nhức,I-SYMPTOM
30,Tôi,O
30,bị,O
30,ho,B-SYMPTOM
30,tức,I-SYMPTOM
30,ngực,I-SYMPTOM
30,và,O
30,nghẹt,B-SYMPTOM
30,một,I-SYMPTOM
30,bên,I-SYMPTOM
30,mũi,I-SYMPTOM
31,Bị,O
31,ho,B-SYMPTOM
31,khan,I-SYMPTOM
31,quá,O
31,tôi,O
31,đến,O
31,mức,O
31,khàn,B-SYMPTOM
31,giọng,I-SYMPTOM
32,Mũi,O
32,tôi,O
32,chảy,B-SYMPTOM
32,nước,I-SYMPTOM
32,mũi,I-SYMPTOM
32,ít,I-SYMPTOM
32,và,O
32,tôi,O
32,bị,O
32,nhảy,B-SYMPTOM
32,mũi,I-SYMPTOM
33,Tôi,O
33,có,O
33,cảm,B-SYMPTOM
33,giác,I-SYMPTOM
33,đau,I-SYMPTOM
33,xoang,I-SYMPTOM
33,và,O
33,không,B-SYMPTOM
33,nói,I-SYMPTOM
33,ra,I-SYMPTOM
33,tiếng,I-SYMPTOM
34,Sốt,O
34,cao,O
34,và,O
34,nhức,B-SYMPTOM
34,đầu,I-SYMPTOM
34,là,O
34,triệu,O
34,chứng,O
34,của,O
34,Viêm,B-DISEASE
34,Amidan,I-DISEASE
34,cấp,I-DISEASE
35,Tôi,O
35,bị,O
35,ho,B-SYMPTOM
35,ra,I-SYMPTOM
35,đờm,I-SYMPTOM
35,và,O
35,đau,B-SYMPTOM
35,cơ,I-SYMPTOM
36,Tôi,O
36,bị,O
36,nghẹt,B-SYMPTOM
36,mũi,I-SYMPTOM
36,nặng,I-SYMPTOM
36,và,O
36,bị,O
36,sổ,B-SYMPTOM
36,mũi,I-SYMPTOM
36,nhiều,I-SYMPTOM
37,Đầu,O
37,tôi,O
37,bị,O
37,đau,B-SYMPTOM
37,đầu,I-SYMPTOM
37,và,O
37,tôi,O
37,không,B-SYMPTOM
37,ngửi,I-SYMPTOM
37,được,I-SYMPTOM
38,Tôi,O
38,thấy,O
38,mình,O
38,luôn,O
38,có,O
38,hơi,B-SYMPTOM
38,sốt,I-SYMPTOM
38,và,O
38,bị,O
38,đau,B-SYMPTOM
38,họng,I-SYMPTOM
39,Tôi,O
39,cảm,O
39,thấy,O
39,rất,O
39,yếu,O
39,vì,O
39,đau,B-SYMPTOM
39,đầu,I-SYMPTOM
39,dữ,I-SYMPTOM
39,dội,I-SYMPTOM
40,Tôi,O
40,bị,O
40,ho,B-SYMPTOM
40,khàn,I-SYMPTOM
40,và,O
40,khó,B-SYMPTOM
40,thở,I-SYMPTOM
40,bằng,I-SYMPTOM
40,mũi,I-SYMPTOM
41,Tôi,O
41,bị,O
41,sổ,B-SYMPTOM
41,mũi,I-SYMPTOM
41,nhiều,I-SYMPTOM
41,và,O
41,nghẹt,B-SYMPTOM
41,mũi,I-SYMPTOM
41,liên,I-SYMPTOM
41,tục,I-SYMPTOM
42,Tôi,O
42,bị,O
42,ho,B-SYMPTOM
42,nhẹ,I-SYMPTOM
42,kèm,O
42,theo,O
42,tức,B-SYMPTOM
42,xoang,I-SYMPTOM
43,Tôi,O
43,thấy,O
43,tôi,O
43,bị,O
43,nhức,B-SYMPTOM
43,mỏi,I-SYMPTOM
43,và,O
43,đau,B-SYMPTOM
43,đầu,I-SYMPTOM
43,nhẹ,I-SYMPTOM
44,Gần,O
44,đây,O
44,tôi,O
44,thường,O
44,xuyên,O
44,bị,O
44,chảy,B-SYMPTOM
44,mũi,I-SYMPTOM
44,lỏng,I-SYMPTOM
44,và,O
44,ho,B-SYMPTOM
44,khan,I-SYMPTOM
45,Tôi,O
45,bị,O
45,mất,B-SYMPTOM
45,khứu,I-SYMPTOM
45,giác,I-SYMPTOM
45,và,O
45,giọng,B-SYMPTOM
45,khàn,I-SYMPTOM
46,Bác,O
46,sĩ,O
46,nói,O
46,tôi,O
46,có,O
46,triệu,O
46,chứng,O
46,của,O
46,Cảm,B-DISEASE
46,cúm,I-DISEASE
47,Tôi,O
47,bị,O
47,hắt,B-SYMPTOM
47,hơi,I-SYMPTOM
47,nhiều,I-SYMPTOM
47,và,O
47,bị,O
47,đau,B-SYMPTOM
47,mình,I-SYMPTOM
47,mẩy,I-SYMPTOM
48,Tôi,O
48,cảm,O
48,thấy,O
48,mệt,B-SYMPTOM
48,mỏi,I-SYMPTOM
48,và,O
48,nghẹt,B-SYMPTOM
48,mũi,I-SYMPTOM
48,khó,I-SYMPTOM
48,chịu,I-SYMPTOM
49,Tôi,O
49,bị,O
49,hơi,B-SYMPTOM
49,sốt,I-SYMPTOM
49,và,O
49,tôi,O
49,bị,O
49,ho,B-SYMPTOM
49,không,I-SYMPTOM
49,dứt,I-SYMPTOM
50,Tôi,O
50,bị,O
50,đau,B-SYMPTOM
50,đầu,I-SYMPTOM
50,và,O
50,tôi,O
50,cũng,O
50,bị,O
50,ngứa,B-SYMPTOM
50,cổ,I-SYMPTOM
51,Chào,O
51,bác,O
51,sĩ,O
51,,O
51,tôi,O
51,bị,O
51,sốt,B-SYMPTOM
51,cao,I-SYMPTOM
51,và,O
51,cảm,B-SYMPTOM
51,giác,I-SYMPTOM
51,lạnh,I-SYMPTOM
51,run,I-SYMPTOM
51,bần,I-SYMPTOM
51,bật,I-SYMPTOM
52,Tôi,O
52,thấy,O
52,mình,O
52,đau,B-SYMPTOM
52,nhức,I-SYMPTOM
52,cơ,I-SYMPTOM
52,bắp,I-SYMPTOM
52,và,O
52,ho,B-SYMPTOM
52,liên,I-SYMPTOM
52,tục,I-SYMPTOM
53,Đầu,O
53,tôi,O
53,nhức,B-SYMPTOM
53,đầu,I-SYMPTOM
53,như,I-SYMPTOM
53,búa,I-SYMPTOM
53,bổ,I-SYMPTOM
53,cùng,O
53,với,O
53,sốt,B-SYMPTOM
53,liên,I-SYMPTOM
53,tục,I-SYMPTOM
54,Tôi,O
54,bị,O
54,mệt,B-SYMPTOM
54,mỏi,I-SYMPTOM
54,rã,I-SYMPTOM
54,rời,I-SYMPTOM
54,và,O
54,bị,O
54,ớn,B-SYMPTOM
54,lạnh,I-SYMPTOM
55,Họng,O
55,tôi,O
55,bị,O
55,đau,B-SYMPTOM
55,họng,I-SYMPTOM
55,khủng,I-SYMPTOM
55,khiếp,I-SYMPTOM
55,khi,O
55,nói,O
56,Gần,O
56,đây,O
56,tôi,O
56,thường,O
56,xuyên,O
56,bị,O
56,chóng,B-SYMPTOM
56,mặt,I-SYMPTOM
56,và,O
56,cảm,B-SYMPTOM
56,giác,I-SYMPTOM
56,buồn,I-SYMPTOM
56,nôn,I-SYMPTOM
57,Tôi,O
57,thấy,O
57,mất,B-SYMPTOM
57,sức,I-SYMPTOM
57,và,O
57,bị,O
57,ho,B-SYMPTOM
57,kéo,I-SYMPTOM
57,dài,I-SYMPTOM
58,Tôi,O
58,bị,O
58,sốt,B-SYMPTOM
58,nóng,I-SYMPTOM
58,và,O
58,toàn,B-SYMPTOM
58,thân,I-SYMPTOM
58,đau,I-SYMPTOM
58,mỏi,I-SYMPTOM
59,Đầu,O
59,tôi,O
59,bị,O
59,nhức,B-SYMPTOM
59,đầu,I-SYMPTOM
59,không,I-SYMPTOM
59,dứt,I-SYMPTOM
59,còn,O
59,mũi,O
59,thì,O
59,tắc,B-SYMPTOM
59,mũi,I-SYMPTOM
60,Tôi,O
60,có,O
60,bị,O
60,tiêu,B-SYMPTOM
60,chảy,I-SYMPTOM
60,nhiều,I-SYMPTOM
60,lần,I-SYMPTOM
60,và,O
60,cảm,B-SYMPTOM
60,giác,I-SYMPTOM
60,lạnh,I-SYMPTOM
60,toát,I-SYMPTOM
60,người,I-SYMPTOM
61,Tôi,O
61,bị,O
61,ho,B-SYMPTOM
61,ho,I-SYMPTOM
61,tức,I-SYMPTOM
61,ngực,I-SYMPTOM
61,và,O
61,bị,O
61,suy,B-SYMPTOM
61,nhược,I-SYMPTOM
61,cơ,I-SYMPTOM
61,thể,I-SYMPTOM
62,Tôi,O
62,bị,O
62,ho,B-SYMPTOM
62,đau,I-SYMPTOM
62,họng,I-SYMPTOM
62,và,O
62,luôn,O
62,bị,O
62,nghẹt,B-SYMPTOM
62,mũi,I-SYMPTOM
63,Có,O
63,lúc,O
63,tôi,O
63,bị,O
63,hoa,B-SYMPTOM
63,mắt,I-SYMPTOM
63,và,O
63,óc,O
63,cứ,O
63,bị,O
63,quay,B-SYMPTOM
63,cuồng,I-SYMPTOM
64,Tôi,O
64,bị,O
64,đau,B-SYMPTOM
64,mình,I-SYMPTOM
64,mẩy,I-SYMPTOM
64,dữ,I-SYMPTOM
64,dội,I-SYMPTOM
64,và,O
64,mất,B-SYMPTOM
64,vị,I-SYMPTOM
64,giác,I-SYMPTOM
65,Bác,O
65,sĩ,O
65,ơi,O
65,,O
65,tôi,O
65,đã,O
65,lên,B-SYMPTOM
65,cơn,I-SYMPTOM
65,sốt,I-SYMPTOM
65,cao,I-SYMPTOM
65,và,O
65,bị,O
65,nôn,B-SYMPTOM
65,ói,I-SYMPTOM
66,Tôi,O
66,bị,O
66,sổ,B-SYMPTOM
66,mũi,I-SYMPTOM
66,và,O
66,đau,B-SYMPTOM
66,đầu,I-SYMPTOM
66,nặng,I-SYMPTOM
67,Toàn,O
67,thân,O
67,tôi,O
67,rất,O
67,mệt,B-SYMPTOM
67,mỏi,I-SYMPTOM
67,và,O
67,bị,O
67,rét,B-SYMPTOM
67,run,I-SYMPTOM
68,Tôi,O
68,thấy,O
68,mình,O
68,ho,B-SYMPTOM
68,không,I-SYMPTOM
68,có,I-SYMPTOM
68,đờm,I-SYMPTOM
68,và,O
68,bị,O
68,đau,B-SYMPTOM
68,họng,I-SYMPTOM
68,khi,I-SYMPTOM
68,nói,I-SYMPTOM
69,Tôi,O
69,cảm,O
69,thấy,O
69,mình,O
69,bị,O
69,kiệt,B-SYMPTOM
69,sức,I-SYMPTOM
69,và,O
69,thường,O
69,xuyên,O
69,đi,B-SYMPTOM
69,ngoài,I-SYMPTOM
69,lỏng,I-SYMPTOM
70,Tôi,O
70,bị,O
70,nhức,B-SYMPTOM
70,đầu,I-SYMPTOM
70,chói,I-SYMPTOM
70,và,O
70,bị,O
70,cổ,B-SYMPTOM
70,họng,I-SYMPTOM
70,sưng,I-SYMPTOM
70,đau,I-SYMPTOM
71,Tôi,O
71,bị,O
71,ho,B-SYMPTOM
71,khan,I-SYMPTOM
71,và,O
71,bị,O
71,đau,B-SYMPTOM
71,khớp,I-SYMPTOM
72,Tôi,O
72,bị,O
72,ớn,B-SYMPTOM
72,lạnh,I-SYMPTOM
72,và,O
72,cảm,B-SYMPTOM
72,giác,I-SYMPTOM
72,ăn,I-SYMPTOM
72,không,I-SYMPTOM
72,ngon,I-SYMPTOM
73,Tôi,O
73,bị,O
73,đau,B-SYMPTOM
73,cơ,I-SYMPTOM
73,nặng,I-SYMPTOM
73,và,O
73,bị,O
73,sổ,B-SYMPTOM
73,mũi,I-SYMPTOM
74,Tôi,O
74,bị,O
74,cảm,B-SYMPTOM
74,giác,I-SYMPTOM
74,xây,I-SYMPTOM
74,xẩm,I-SYMPTOM
74,và,O
74,bị,O
74,buồn,B-SYMPTOM
74,nôn,I-SYMPTOM
75,Tôi,O
75,đang,O
75,bị,O
75,sốt,B-SYMPTOM
75,cao,I-SYMPTOM
75,và,O
75,bị,O
75,đau,B-SYMPTOM
75,vùng,I-SYMPTOM
75,thái,I-SYMPTOM
75,dương,I-SYMPTOM
76,Mũi,O
76,tôi,O
76,bị,O
76,chảy,B-SYMPTOM
76,nước,I-SYMPTOM
76,mũi,I-SYMPTOM
76,và,O
76,ho,B-SYMPTOM
76,nặng,I-SYMPTOM
77,Tôi,O
77,bị,O
77,mất,B-SYMPTOM
77,sức,I-SYMPTOM
77,và,O
77,bị,O
77,sốt,B-SYMPTOM
77,nóng,I-SYMPTOM
78,Tôi,O
78,bị,O
78,đau,B-SYMPTOM
78,họng,I-SYMPTOM
78,nặng,I-SYMPTOM
78,và,O
78,bị,O
78,hoa,B-SYMPTOM
78,mắt,I-SYMPTOM
79,Cơ,O
79,thể,O
79,tôi,O
79,bị,O
79,hành,B-SYMPTOM
79,hạ,I-SYMPTOM
79,và,O
79,bị,O
79,ói,B-SYMPTOM
79,mửa,I-SYMPTOM
80,Tôi,O
80,bị,O
80,ho,B-SYMPTOM
80,rát,I-SYMPTOM
80,và,O
80,bị,O
80,đi,B-SYMPTOM
80,ngoài,I-SYMPTOM
80,nhiều,I-SYMPTOM
80,lần,I-SYMPTOM
81,Tôi,O
81,luôn,O
81,cảm,B-SYMPTOM
81,thấy,I-SYMPTOM
81,uể,I-SYMPTOM
81,oải,I-SYMPTOM
81,và,O
81,bị,O
81,đau,B-SYMPTOM
81,đầu,I-SYMPTOM
81,chói,I-SYMPTOM
82,Tôi,O
82,bị,O
82,run,B-SYMPTOM
82,rẩy,I-SYMPTOM
82,và,O
82,bị,O
82,đau,B-SYMPTOM
82,nhức,I-SYMPTOM
82,toàn,I-SYMPTOM
82,thân,I-SYMPTOM
83,Tôi,O
83,bị,O
83,ho,B-SYMPTOM
83,tức,I-SYMPTOM
83,ngực,I-SYMPTOM
83,và,O
83,bị,O
83,mất,B-SYMPTOM
83,vị,I-SYMPTOM
83,giác,I-SYMPTOM
84,Tôi,O
84,bị,O
84,sốt,B-SYMPTOM
84,cao,I-SYMPTOM
84,và,O
84,luôn,O
84,cảm,B-SYMPTOM
84,giác,I-SYMPTOM
84,buồn,I-SYMPTOM
84,nôn,I-SYMPTOM
85,Tôi,O
85,bị,O
85,đau,B-SYMPTOM
85,họng,I-SYMPTOM
85,khi,I-SYMPTOM
85,nuốt,I-SYMPTOM
85,và,O
85,bị,O
85,nghẹt,B-SYMPTOM
85,mũi,I-SYMPTOM
86,Tôi,O
86,bị,O
86,ho,B-SYMPTOM
86,kéo,I-SYMPTOM
86,dài,I-SYMPTOM
86,và,O
86,bị,O
86,đau,B-SYMPTOM
86,đầu,I-SYMPTOM
86,dữ,I-SYMPTOM
86,dội,I-SYMPTOM
87,Tôi,O
87,bị,O
87,lạnh,B-SYMPTOM
87,toát,I-SYMPTOM
87,người,I-SYMPTOM
87,và,O
87,tôi,O
87,thấy,O
87,ăn,B-SYMPTOM
87,không,I-SYMPTOM
87,ngon,I-SYMPTOM
88,Tôi,O
88,bị,O
88,mệt,B-SYMPTOM
88,lả,I-SYMPTOM
88,và,O
88,bị,O
88,sổ,B-SYMPTOM
88,mũi,I-SYMPTOM
89,Tôi,O
89,bị,O
89,đau,B-SYMPTOM
89,mỏi,I-SYMPTOM
89,toàn,I-SYMPTOM
89,thân,I-SYMPTOM
89,và,O
89,bị,O
89,ớn,B-SYMPTOM
89,lạnh,I-SYMPTOM
90,Tôi,O
90,bị,O
90,cơn,B-SYMPTOM
90,sốt,I-SYMPTOM
90,cao,I-SYMPTOM
90,và,O
90,tôi,O
90,bị,O
90,ho,B-SYMPTOM
90,đau,I-SYMPTOM
90,họng,I-SYMPTOM
91,Tôi,O
91,bị,O
91,nhức,B-SYMPTOM
91,đầu,I-SYMPTOM
91,và,O
91,bị,O
91,tiêu,B-SYMPTOM
91,chảy,I-SYMPTOM
91,92,Tôi
92,bị,O
92,chóng,B-SYMPTOM
92,mặt,I-SYMPTOM
92,và,O
92,bị,O
92,ho,B-SYMPTOM
92,khan,I-SYMPTOM
93,Tôi,O
93,cảm,B-SYMPTOM
93,thấy,I-SYMPTOM
93,kiệt,I-SYMPTOM
93,sức,I-SYMPTOM
93,và,O
93,bị,O
93,đau,B-SYMPTOM
93,nhức,I-SYMPTOM
93,sâu,I-SYMPTOM
94,Tôi,O
94,bị,O
94,sốt,B-SYMPTOM
94,nóng,I-SYMPTOM
94,và,O
94,bị,O
94,nôn,B-SYMPTOM
94,ói,I-SYMPTOM
95,Tôi,O
95,bị,O
95,ho,B-SYMPTOM
95,tức,I-SYMPTOM
95,ngực,I-SYMPTOM
95,và,O
95,bị,O
95,đau,B-SYMPTOM
95,khớp,I-SYMPTOM
96,Tôi,O
96,bị,O
96,chảy,B-SYMPTOM
96,nước,I-SYMPTOM
96,mũi,I-SYMPTOM
96,và,O
96,bị,O
96,đau,B-SYMPTOM
96,đầu,I-SYMPTOM
96,nặng,I-SYMPTOM
97,Tôi,O
97,bị,O
97,rét,B-SYMPTOM
97,run,I-SYMPTOM
97,và,O
97,bị,O
97,ho,B-SYMPTOM
97,rát,I-SYMPTOM
98,Tôi,O
98,bị,O
98,mệt,B-SYMPTOM
98,mỏi,I-SYMPTOM
98,toàn,I-SYMPTOM
98,thân,I-SYMPTOM
98,và,O
98,bị,O
98,nhức,B-SYMPTOM
98,đầu,I-SYMPTOM
99,Tôi,O
99,bị,O
99,sốt,B-SYMPTOM
99,liên,I-SYMPTOM
99,tục,I-SYMPTOM
99,và,O
99,bị,O
99,cảm,B-SYMPTOM
99,giác,I-SYMPTOM
99,buồn,I-SYMPTOM
99,nôn,I-SYMPTOM
100,Tôi,O
100,bị,O
100,ho,B-SYMPTOM
100,kéo,I-SYMPTOM
100,dài,I-SYMPTOM
100,và,O
100,bị,O
100,nghẹt,B-SYMPTOM
100,mũi,I-SYMPTOM
101,Chào,O
101,bác,O
101,sĩ,O
101,,O
101,tôi,O
101,bị,O
101,sốt,B-SYMPTOM
101,cao,I-SYMPTOM
101,đột,I-SYMPTOM
101,ngột,I-SYMPTOM
101,và,O
101,đau,B-SYMPTOM
101,sâu,I-SYMPTOM
101,trong,I-SYMPTOM
101,họng,I-SYMPTOM
102,Tôi,O
102,thấy,O
102,amidan,B-SYMPTOM
102,sưng,I-SYMPTOM
102,to,I-SYMPTOM
102,và,O
102,tôi,O
102,bị,O
102,ho,B-SYMPTOM
102,do,I-SYMPTOM
102,ngứa,I-SYMPTOM
102,họng,I-SYMPTOM
103,Tôi,O
103,bị,O
103,đau,B-SYMPTOM
103,khi,I-SYMPTOM
103,nuốt,I-SYMPTOM
103,và,O
103,có,B-SYMPTOM
103,đốm,I-SYMPTOM
103,trắng,I-SYMPTOM
103,ở,I-SYMPTOM
103,amidan,I-SYMPTOM
104,Gần,O
104,đây,O
104,tôi,O
104,thường,O
104,xuyên,O
104,bị,O
104,buồn,B-SYMPTOM
104,nôn,I-SYMPTOM
104,và,O
104,bị,O
104,mệt,B-SYMPTOM
104,mỏi,I-SYMPTOM
104,toàn,I-SYMPTOM
104,thân,I-SYMPTOM
105,Tôi,O
105,bị,O
105,hạch,B-SYMPTOM
105,góc,I-SYMPTOM
105,hàm,I-SYMPTOM
105,sưng,I-SYMPTOM
105,to,I-SYMPTOM
105,và,O
105,cũng,O
105,bị,O
105,đau,B-SYMPTOM
105,đầu,I-SYMPTOM
105,âm,I-SYMPTOM
105,ỉ,I-SYMPTOM
106,Bác,O
106,sĩ,O
106,,O
106,tôi,O
106,bị,O
106,mất,B-SYMPTOM
106,giọng,I-SYMPTOM
106,và,O
106,họng,B-SYMPTOM
106,bị,I-SYMPTOM
106,sung,I-SYMPTOM
106,huyết,I-SYMPTOM
107,Tôi,O
107,có,O
107,cảm,B-SYMPTOM
107,giác,I-SYMPTOM
107,nóng,I-SYMPTOM
107,rát,I-SYMPTOM
107,cổ,I-SYMPTOM
107,và,O
107,bị,O
107,ho,B-SYMPTOM
107,húng,I-SYMPTOM
107,hắng,I-SYMPTOM
108,Tôi,O
108,cảm,O
108,thấy,O
108,khó,B-SYMPTOM
108,nuốt,I-SYMPTOM
108,và,O
108,có,O
108,hơi,B-SYMPTOM
108,thở,I-SYMPTOM
108,có,I-SYMPTOM
108,mùi,I-SYMPTOM
109,Tôi,O
109,bị,O
109,sốt,B-SYMPTOM
109,nhẹ,I-SYMPTOM
109,và,O
109,bị,O
109,đau,B-SYMPTOM
109,đầu,I-SYMPTOM
109,vùng,I-SYMPTOM
109,trán,I-SYMPTOM
110,Tôi,O
110,cũng,O
110,bị,O
110,nuốt,B-SYMPTOM
110,vướng,I-SYMPTOM
110,và,O
110,bị,O
110,đau,B-SYMPTOM
110,bụng,I-SYMPTOM
110,nhẹ,I-SYMPTOM
111,Tôi,O
111,bị,O
111,ngứa,B-SYMPTOM
111,rát,I-SYMPTOM
111,cổ,I-SYMPTOM
111,họng,I-SYMPTOM
111,và,O
111,bị,O
111,mệt,B-SYMPTOM
111,mỏi,I-SYMPTOM
111,toàn,I-SYMPTOM
