disease_id,disease_name,symptoms
D001,Cảm lạnh thông thường,"Sổ_mũi_nhiều, Nhức_đầu, Ho_không_dứt, Khan_tiếng"
D001,Cảm lạnh thông thường,"Có_sốt, Nghẹt_mũi_khó_chịu, Hắt_hơi_nhiều"
D001,Cảm lạnh thông thường,"Chảy_mũi_trong, Đau_đầu_dữ_dội, Bị_sổ_mũi"
D001,Cảm lạnh thông thường,"Tức_xoang, Mất_khứu_giác, Sốt_cao"
D001,Cảm lạnh thông thường,"Ho_liên_tục, Đau_đầu_vùng_xoang, Chảy_nước_mũi"
D001,Cảm lạnh thông thường,"Giọng_khàn, Đau_nhức_nhẹ, Sổ_mũi"
D001,Cảm lạnh thông thường,"Ngửi_kém, Nghẹt_mũi, Ho_khan"
D001,Cảm lạnh thông thường,"Chảy_nước_mũi_liên_tục, Hắt_hơi, Đau_mình_mẩy"
D001,Cảm lạnh thông thường,"Khàn_giọng, Bị_nhức_đầu, Ho_nhẹ"
D001,Cảm lạnh thông thường,"Áp_lực_xoang, Nghẹt_một_bên_mũi, Sốt"
D001,Cảm lạnh thông thường,"Ho_có_đờm, Đau_cơ, Đau_hốc_mắt"
D001,Cảm lạnh thông thường,"Bị_bít_mũi, Chảy_mũi_lỏng, Tắc_mũi"
D001,Cảm lạnh thông thường,"Sốt_nhẹ, Sổ_mũi_liên_tục, Đau_xương_khớp"
D001,Cảm lạnh thông thường,"Đau_đầu_âm_ỉ, Không_ngửi_được, Ho_dữ_dội"
D001,Cảm lạnh thông thường,"Ho_tức_ngực, Nước_mũi_chảy_ròng, Ngứa_họng"
D001,Cảm lạnh thông thường,"Nghẹt_cả_hai_bên, Chảy_nước_mũi_nhiều, Đau_xoang"
D001,Cảm lạnh thông thường,"Đau_nhức_toàn_thân, Khó_thở_bằng_mũi, Sốt_cao, Ho_khan_kéo_dài"
D001,Cảm lạnh thông thường,"Hơi_sốt, Đau_đầu, Sổ_mũi_nhiều"
D001,Cảm lạnh thông thường,"Chảy_mũi, Nhức_mỏi, Bị_sốt"
D001,Cảm lạnh thông thường,"Mất_giọng, Nghẹt_mũi_khó_chịu, Đau_nhức_cơ_thể"
D001,Cảm lạnh thông thường,"Hắt_hơi_liên_tục, Tức_xoang, Ho_ra_đờm"
D001,Cảm lạnh thông thường,"Sổ_mũi, Chảy_nước_mũi_ít, Nhức_đầu"
D001,Cảm lạnh thông thường,"Đau_đầu_vùng_xoang, Ho, Nghẹt_mũi_nhiều"
D001,Cảm lạnh thông thường,"Chảy_mũi_trong, Đau_đầu_nhẹ, Ho_không_dứt"
D001,Cảm lạnh thông thường,"Mất_khứu_giác, Khàn_giọng, Ngứa_cổ"
D001,Cảm lạnh thông thường,"Sốt, Nặng_xoang, Đau_đầu_dữ_dội"
D001,Cảm lạnh thông thường,"Bị_sổ_mũi, Ho_liên_tục, Cảm_giác_sốt"
D001,Cảm lạnh thông thường,"Chảy_nước_mũi, Tắc_mũi, Khan_tiếng"
D001,Cảm lạnh thông thường,"Hắt_xì, Giọng_khàn, Nghẹt_một_bên_mũi"
D001,Cảm lạnh thông thường,"Sốt_nhẹ, Đau_cơ, Đau_nhức_nhẹ, Ho_khàn"
D001,Cảm lạnh thông thường,"Áp_lực_xoang, Bị_bít_mũi, Sổ_mũi"
D001,Cảm lạnh thông thường,"Ho_có_đờm, Chảy_mũi_lỏng, Đau_hốc_mắt"
D001,Cảm lạnh thông thường,"Đau_xoang, Nghẹt_cả_hai_bên, Hơi_sốt"
D001,Cảm lạnh thông thường,"Ho_nhẹ, Đau_mình_mẩy, Chảy_nước_mũi_liên_tục"
D001,Cảm lạnh thông thường,"Nhức_mỏi, Sổ_mũi_liên_tục, Khó_thở_bằng_mũi"
D001,Cảm lạnh thông thường,"Bị_nhức_đầu, Ho_dữ_dội, Giảm_khứu_giác"
D001,Cảm lạnh thông thường,"Ho_khan_kéo_dài, Chảy_nước_mũi_nhiều, Đau_xương_khớp"
D001,Cảm lạnh thông thường,"Sốt_cao, Đau_đầu, Bị_sốt"
D001,Cảm lạnh thông thường,"Đau_nhức_cơ_thể, Nghẹt_mũi, Nước_mũi_chảy_ròng"
D001,Cảm lạnh thông thường,"Đau_đầu_âm_ỉ, Ngứa_họng, Ho_tức_ngực"
D001,Cảm lạnh thông thường,"Ho_ra_đờm, Không_ngửi_được, Chảy_mũi_trong"
D001,Cảm lạnh thông thường,"Đau_đầu_vùng_xoang, Sổ_mũi_nhiều, Hắt_hơi"
D001,Cảm lạnh thông thường,"Nghẹt_mũi_nhiều, Đau_nhức_toàn_thân, Mất_giọng"
D001,Cảm lạnh thông thường,"Sốt, Hắt_hơi_liên_tục, Ho_khan, Đau_xoang"
D001,Cảm lạnh thông thường,"Chảy_nước_mũi_ít, Tức_xoang, Khàn_giọng"
D001,Cảm lạnh thông thường,"Nhức_đầu, Đau_đầu_nhẹ, Nói_không_ra_tiếng"
D001,Cảm lạnh thông thường,"Tắc_mũi, Ho_liên_tục, Sốt_nhẹ"
D001,Cảm lạnh thông thường,"Đau_hốc_mắt, Ngửi_kém, Nghẹt_mũi_khó_chịu"
D001,Cảm lạnh thông thường,"Ho_không_dứt, Chảy_mũi, Đau_cơ"
D001,Cảm lạnh thông thường,"Bị_sổ_mũi, Đau_đầu_dữ_dội, Hắt_xì"
D001,Cảm lạnh thông thường,"Sổ_mũi, Nghẹt_một_bên_mũi, Ho_dữ_dội, Có_sốt"
D001,Cảm lạnh thông thường,"Đau_mình_mẩy, Ho_khàn, Chảy_nước_mũi_liên_tục, Bị_bít_mũi"
D002,Cảm cúm,"Sốt_cao,ớn_lạnh,mệt_mỏi_rã_rời,đau_nhức_cơ_bắp,đau_đầu_dữ_dội,ho_khan"
D002,Cảm cúm,"sốt_nóng,rét_run,kiệt_sức,đau_mỏi_toàn_thân,nhức_đầu_như_búa_bổ,đau_họng_nặng"
D002,Cảm cúm,"sốt_liên_tục,cảm_giác_lạnh,suy_nhược_cơ_thể,đau_cơ_nặng,đau_vùng_thái_dương,sổ_mũi"
D002,Cảm cúm,"cơn_sốt_cao,lạnh_toát_người,uể_oải,đau_khớp,chóng_mặt,ho_kéo_dài"
D002,Cảm cúm,"lên_cơn_sốt,lạnh_run_bần_bật,mất_sức,đau_nhức_sâu,hoa_mắt,nghẹt_mũi"
D002,Cảm cúm,"Sốt_cao,bị_ớn_lạnh,mệt_mỏi_toàn_thân,cơ_thể_bị_hành_hạ,đau_đầu_nặng,buồn_nôn"
D002,Cảm cúm,"sốt_nóng,run_rẩy,không_có_sức_lực,đau_mình_mẩy_dữ_dội,đau_đầu_chói,tiêu_chảy"
D002,Cảm cúm,"sốt_liên_tục,ớn_lạnh,mệt_lả,đau_nhức_cơ_bắp,ho_tức_ngực,mất_vị_giác"
D002,Cảm cúm,"cơn_sốt_cao,rét_run,kiệt_sức,đau_khớp,đau_đầu_dữ_dội,khó_nuốt"
D002,Cảm cúm,"lên_cơn_sốt,cảm_giác_lạnh,suy_nhược_cơ_thể,đau_mỏi_toàn_thân,nhức_đầu_như_búa_bổ,ho_liên_tục"
D002,Cảm cúm,"Sốt_cao,lạnh_toát_người,uể_oải,đau_cơ_nặng,sổ_mũi,nôn_ói"
D002,Cảm cúm,"sốt_nóng,lạnh_run_bần_bật,mất_sức,đau_nhức_sâu,chảy_nước_mũi,cổ_họng_sưng_đau"
D002,Cảm cúm,"sốt_liên_tục,bị_ớn_lạnh,mệt_mỏi_toàn_thân,cơ_thể_bị_hành_hạ,quay_cuồng,tiêu_chảy"
D002,Cảm cúm,"cơn_sốt_cao,run_rẩy,không_có_sức_lực,đau_mình_mẩy_dữ_dội,đau_đầu_không_dứt,buồn_nôn"
D002,Cảm cúm,"lên_cơn_sốt,ớn_lạnh,mệt_mỏi_rã_rời,đau_nhức_cơ_bắp,ho_đau_họng,mất_vị_giác"
D002,Cảm cúm,"Sốt_cao,rét_run,mệt_lả,đau_mỏi_toàn_thân,đau_đầu_nặng,ho_khan"
D002,Cảm cúm,"sốt_nóng,cảm_giác_lạnh,kiệt_sức,đau_cơ_nặng,nghẹt_mũi,đau_rát_họng_khủng_khiếp"
D002,Cảm cúm,"sốt_liên_tục,lạnh_toát_người,suy_nhược_cơ_thể,đau_khớp,chóng_mặt,ho_kéo_dài"
D002,Cảm cúm,"cơn_sốt_cao,lạnh_run_bần_bật,uể_oải,đau_nhức_sâu,tiêu_chảy,ói_mửa"
D002,Cảm cúm,"lên_cơn_sốt,bị_ớn_lạnh,mất_sức,cơ_thể_bị_hành_hạ,đau_đầu_chói,ho_không_có_đờm"
D002,Cảm cúm,"Sốt_cao,run_rẩy,mệt_mỏi_toàn_thân,đau_mình_mẩy_dữ_dội,nhức_đầu_như_búa_bổ,cổ_họng_sưng_đau"
D002,Cảm cúm,"sốt_nóng,ớn_lạnh,không_có_sức_lực,đau_nhức_cơ_bắp,ho_tức_ngực,mất_vị_giác"
D002,Cảm cúm,"sốt_liên_tục,rét_run,mệt_mỏi_rã_rời,đau_khớp,đau_đầu_dữ_dội,sổ_mũi"
D002,Cảm cúm,"cơn_sốt_cao,cảm_giác_lạnh,mệt_lả,đau_mỏi_toàn_thân,hoa_mắt,buồn_nôn"
D002,Cảm cúm,"lên_cơn_sốt,lạnh_toát_người,kiệt_sức,đau_cơ_nặng,đau_họng_khi_nói,đi_ngoài_lỏng"
D002,Cảm cúm,"Sốt_cao,lạnh_run_bần_bật,suy_nhược_cơ_thể,đau_nhức_sâu,đau_vùng_thái_dương,ho_nặng"
D002,Cảm cúm,"sốt_nóng,bị_ớn_lạnh,uể_oải,cơ_thể_bị_hành_hạ,chóng_mặt,nghẹt_mũi"
D002,Cảm cúm,"sốt_liên_tục,run_rẩy,mất_sức,đau_mình_mẩy_dữ_dội,đau_đầu_nặng,ho_rát"
D002,Cảm cúm,"cơn_sốt_cao,ớn_lạnh,mệt_mỏi_toàn_thân,đau_nhức_cơ_bắp,quay_cuồng,ăn_không_thấy_ngon"
D002,Cảm cúm,"lên_cơn_sốt,rét_run,không_có_sức_lực,đau_khớp,đau_đầu_chói,tiêu_chảy"
D002,Cảm cúm,"Sốt_cao,cảm_giác_lạnh,mệt_mỏi_rã_rời,đau_mỏi_toàn_thân,nhức_đầu_như_búa_bổ,ho_liên_tục"
D002,Cảm cúm,"sốt_nóng,lạnh_toát_người,mệt_lả,đau_cơ_nặng,ho_đau_họng,nôn_ói"
D002,Cảm cúm,"sốt_liên_tục,lạnh_run_bần_bật,kiệt_sức,đau_nhức_sâu,đau_đầu_dữ_dội,đau_họng_nặng"
D002,Cảm cúm,"cơn_sốt_cao,bị_ớn_lạnh,suy_nhược_cơ_thể,cơ_thể_bị_hành_hạ,sổ_mũi,vị_giác_kém"
D002,Cảm cúm,"lên_cơn_sốt,run_rẩy,uể_oải,đau_mình_mẩy_dữ_dội,hoa_mắt,ho_khan"
D002,Cảm cúm,"Sốt_cao,ớn_lạnh,mất_sức,đau_nhức_cơ_bắp,đau_đầu_không_dứt,chảy_nước_mũi"
D002,Cảm cúm,"sốt_nóng,rét_run,mệt_mỏi_toàn_thân,đau_khớp,chóng_mặt,ho_kéo_dài"
D002,Cảm cúm,"sốt_liên_tục,cảm_giác_lạnh,không_có_sức_lực,đau_mỏi_toàn_thân,buồn_nôn,đau_rát_họng_khủng_khiếp"
D002,Cảm cúm,"cơn_sốt_cao,lạnh_toát_người,mệt_mỏi_rã_rời,đau_cơ_nặng,nghẹt_mũi,mất_vị_giác"
D002,Cảm cúm,"lên_cơn_sốt,lạnh_run_bần_bật,mệt_lả,đau_nhức_sâu,đau_vùng_thái_dương,ho_nặng"
D002,Cảm cúm,"Sốt_cao,bị_ớn_lạnh,kiệt_sức,cơ_thể_bị_hành_hạ,quay_cuồng,khó_nuốt"
D002,Cảm cúm,"sốt_nóng,run_rẩy,suy_nhược_cơ_thể,đau_mình_mẩy_dữ_dội,đau_đầu_nặng,tiêu_chảy"
D002,Cảm cúm,"sốt_liên_tục,ớn_lạnh,uể_oải,đau_nhức_cơ_bắp,ho_tức_ngực,cổ_họng_sưng_đau"
D002,Cảm cúm,"cơn_sốt_cao,rét_run,mất_sức,đau_khớp,đau_đầu_dữ_dội,ho_liên_tục"
D002,Cảm cúm,"lên_cơn_sốt,cảm_giác_lạnh,mệt_mỏi_toàn_thân,đau_mỏi_toàn_thân,nhức_đầu_như_búa_bổ,nôn_ói"
D002,Cảm cúm,"Sốt_cao,lạnh_toát_người,không_có_sức_lực,đau_cơ_nặng,sổ_mũi,ho_không_có_đờm"
D002,Cảm cúm,"sốt_nóng,lạnh_run_bần_bật,mệt_mỏi_rã_rời,đau_nhức_sâu,chảy_nước_mũi,đau_họng_khi_nói"
D002,Cảm cúm,"sốt_liên_tục,bị_ớn_lạnh,mệt_lả,cơ_thể_bị_hành_hạ,đau_đầu_chói,buồn_nôn"
D002,Cảm cúm,"cơn_sốt_cao,run_rẩy,kiệt_sức,đau_mình_mẩy_dữ_dội,hoa_mắt,mất_vị_giác"
D002,Cảm cúm,"lên_cơn_sốt,ớn_lạnh,suy_nhược_cơ_thể,đau_nhức_cơ_bắp,ho_đau_họng,đi_ngoài_nhiều_lần"
D002,Cảm cúm,"Sốt_cao,rét_run,uể_oải,đau_khớp,đau_đầu_dữ_dội,ho_khan"
D002,Cảm cúm,"sốt_nóng,cảm_giác_lạnh,mất_sức,đau_mỏi_toàn_thân,đau_vùng_thái_dương,đau_rát_họng_khủng_khiếp"
D002,Cảm cúm,"sốt_liên_tục,lạnh_toát_người,mệt_mỏi_toàn_thân,đau_cơ_nặng,chóng_mặt,ho_kéo_dài"
D002,Cảm cúm,"cơn_sốt_cao,lạnh_run_bần_bật,không_có_sức_lực,đau_nhức_sâu,tiêu_chảy,nghẹt_mũi"
D002,Cảm cúm,"lên_cơn_sốt,bị_ớn_lạnh,mệt_mỏi_rã_rời,cơ_thể_bị_hành_hạ,quay_cuồng,ói_mửa"
D002,Cảm cúm,"Sốt_cao,run_rẩy,mệt_lả,đau_mình_mẩy_dữ_dội,đau_đầu_nặng,ho_liên_tục"
D002,Cảm cúm,"sốt_nóng,ớn_lạnh,kiệt_sức,đau_nhức_cơ_bắp,nhức_đầu_như_búa_bổ,cổ_họng_sưng_đau"
D002,Cảm cúm,"sốt_liên_tục,rét_run,suy_nhược_cơ_thể,đau_khớp,đau_đầu_không_dứt,buồn_nôn"
D002,Cảm cúm,"cơn_sốt_cao,cảm_giác_lạnh,uể_oải,đau_mỏi_toàn_thân,ho_tức_ngực,mất_vị_giác"
D002,Cảm cúm,"lên_cơn_sốt,lạnh_toát_người,mất_sức,đau_cơ_nặng,đau_đầu_chói,khó_nuốt"
D002,Cảm cúm,"Sốt_cao,lạnh_run_bần_bật,mệt_mỏi_toàn_thân,đau_nhức_sâu,sổ_mũi,ho_nặng"
D002,Cảm cúm,"sốt_nóng,bị_ớn_lạnh,không_có_sức_lực,cơ_thể_bị_hành_hạ,chảy_nước_mũi,nôn_ói"
D002,Cảm cúm,"sốt_liên_tục,run_rẩy,mệt_mỏi_rã_rời,đau_mình_mẩy_dữ_dội,đau_đầu_dữ_dội,ho_rát"
D002,Cảm cúm,"cơn_sốt_cao,ớn_lạnh,mệt_lả,đau_nhức_cơ_bắp,hoa_mắt,đau_họng_khi_nói"
D002,Cảm cúm,"lên_cơn_sốt,rét_run,kiệt_sức,đau_khớp,đau_vùng_thái_dương,tiêu_chảy"
D002,Cảm cúm,"Sốt_cao,cảm_giác_lạnh,suy_nhược_cơ_thể,đau_mỏi_toàn_thân,chóng_mặt,ho_không_có_đờm"
D002,Cảm cúm,"sốt_nóng,lạnh_toát_người,uể_oải,đau_cơ_nặng,nhức_đầu_như_búa_bổ,đau_họng_nặng"
D002,Cảm cúm,"sốt_liên_tục,lạnh_run_bần_bật,mất_sức,đau_nhức_sâu,nghẹt_mũi,buồn_nôn"
D002,Cảm cúm,"cơn_sốt_cao,bị_ớn_lạnh,mệt_mỏi_toàn_thân,cơ_thể_bị_hành_hạ,quay_cuồng,ăn_không_thấy_ngon"
D002,Cảm cúm,"lên_cơn_sốt,run_rẩy,không_có_sức_lực,đau_mình_mẩy_dữ_dội,ho_đau_họng,vị_giác_kém"
D002,Cảm cúm,"Sốt_cao,ớn_lạnh,mệt_mỏi_rã_rời,đau_nhức_cơ_bắp,đau_đầu_nặng,ho_khan"
D002,Cảm cúm,"sốt_nóng,rét_run,mệt_lả,đau_khớp,đau_đầu_không_dứt,đau_rát_họng_khủng_khiếp"
D002,Cảm cúm,"sốt_liên_tục,cảm_giác_lạnh,kiệt_sức,đau_mỏi_toàn_thân,sổ_mũi,ho_kéo_dài"
D002,Cảm cúm,"cơn_sốt_cao,lạnh_toát_người,suy_nhược_cơ_thể,đau_cơ_nặng,chảy_nước_mũi,ói_mửa"
D002,Cảm cúm,"lên_cơn_sốt,lạnh_run_bần_bật,uể_oải,đau_nhức_sâu,đau_đầu_chói,ho_liên_tục"
D002,Cảm cúm,"Sốt_cao,bị_ớn_lạnh,mất_sức,cơ_thể_bị_hành_hạ,hoa_mắt,cổ_họng_sưng_đau"
D002,Cảm cúm,"sốt_nóng,run_rẩy,mệt_mỏi_toàn_thân,đau_mình_mẩy_dữ_dội,ho_tức_ngực,mất_vị_giác"
D002,Cảm cúm,"sốt_liên_tục,ớn_lạnh,không_có_sức_lực,đau_nhức_cơ_bắp,đau_đầu_dữ_dội,khó_nuốt"
D002,Cảm cúm,"cơn_sốt_cao,rét_run,mệt_mỏi_rã_rời,đau_khớp,nhức_đầu_như_búa_bổ,tiêu_chảy"
D002,Cảm cúm,"lên_cơn_sốt,cảm_giác_lạnh,mệt_lả,đau_mỏi_toàn_thân,đau_vùng_thái_dương,buồn_nôn"
D002,Cảm cúm,"Sốt_cao,lạnh_toát_người,kiệt_sức,đau_cơ_nặng,chóng_mặt,ho_nặng"
D002,Cảm cúm,"sốt_nóng,lạnh_run_bần_bật,suy_nhược_cơ_thể,đau_nhức_sâu,nghẹt_mũi,nôn_ói"
D002,Cảm cúm,"sốt_liên_tục,bị_ớn_lạnh,uể_oải,cơ_thể_bị_hành_hạ,quay_cuồng,ho_rát"
D002,Cảm cúm,"cơn_sốt_cao,run_rẩy,mất_sức,đau_mình_mẩy_dữ_dội,đau_đầu_nặng,ăn_không_thấy_ngon"
D002,Cảm cúm,"lên_cơn_sốt,ớn_lạnh,mệt_mỏi_toàn_thân,đau_nhức_cơ_bắp,đau_đầu_chói,ho_đau_họng"
D002,Cảm cúm,"Sốt_cao,rét_run,không_có_sức_lực,đau_khớp,sổ_mũi,đau_họng_nặng"
D002,Cảm cúm,"sốt_nóng,cảm_giác_lạnh,mệt_mỏi_rã_rời,đau_mỏi_toàn_thân,chảy_nước_mũi,ho_không_có_đờm"
D002,Cảm cúm,"sốt_liên_tục,lạnh_toát_người,mệt_lả,đau_cơ_nặng,hoa_mắt,đau_rát_họng_khủng_khiếp"
D002,Cảm cúm,"cơn_sốt_cao,lạnh_run_bần_bật,kiệt_sức,đau_nhức_sâu,buồn_nôn,đi_ngoài_lỏng"
D002,Cảm cúm,"lên_cơn_sốt,bị_ớn_lạnh,suy_nhược_cơ_thể,cơ_thể_bị_hành_hạ,nghẹt_mũi,ho_liên_tục"
D002,Cảm cúm,"Sốt_cao,run_rẩy,uể_oải,đau_mình_mẩy_dữ_dội,đau_đầu_dữ_dội,khó_nuốt"
D002,Cảm cúm,"sốt_nóng,ớn_lạnh,mất_sức,đau_nhức_cơ_bắp,nhức_đầu_như_búa_bổ,cổ_họng_sưng_đau"
D002,Cảm cúm,"sốt_liên_tục,rét_run,mệt_mỏi_toàn_thân,đau_khớp,chóng_mặt,tiêu_chảy"
D002,Cảm cúm,"cơn_sốt_cao,cảm_giác_lạnh,không_có_sức_lực,đau_mỏi_toàn_thân,đau_vùng_thái_dương,ói_mửa"
D002,Cảm cúm,"lên_cơn_sốt,lạnh_toát_người,mệt_mỏi_rã_rời,đau_cơ_nặng,ho_tức_ngực,mất_vị_giác"
D002,Cảm cúm,"Sốt_cao,lạnh_run_bần_bật,mệt_lả,đau_nhức_sâu,đau_đầu_không_dứt,ho_khan"
D002,Cảm cúm,"sốt_nóng,bị_ớn_lạnh,kiệt_sức,cơ_thể_bị_hành_hạ,quay_cuồng,ho_kéo_dài"
D002,Cảm cúm,"sốt_liên_tục,run_rẩy,suy_nhược_cơ_thể,đau_mình_mẩy_dữ_dội,đau_đầu_chói,buồn_nôn"
D002,Cảm cúm,"cơn_sốt_cao,ớn_lạnh,uể_oải,đau_nhức_cơ_bắp,ho_đau_họng,ho_nặng"
D002,Cảm cúm,"lên_cơn_sốt,rét_run,mất_sức,đau_khớp,nhức_đầu_như_búa_bổ,đau_họng_khi_nói"
D003,Viêm họng và Viêm Amidan cấp,"đau_họng_cấp,sốt,họng_sung_huyết,nuốt_đau"
D003,Viêm họng và Viêm Amidan cấp,"amidan_sưng_to,sốt_cao_đột_ngột,có_mủ_trắng_ở_amidan,đau_khi_nuốt,nói_khó_khăn"
D003,Viêm họng và Viêm Amidan cấp,"ngứa_rát_cổ_họng,ho_khan,mệt_mỏi_toàn_thân,khó_nuốt"
D003,Viêm họng và Viêm Amidan cấp,"amidan_to_đỏ,sốt_cao,hạch_góc_hàm_sưng_to,khó_chịu_ở_cổ,nuốt_nước_bọt_cũng_đau"
D003,Viêm họng và Viêm Amidan cấp,"đau_họng_nhẹ,ho_húng_hắng,mệt_mỏi,họng_sung_huyết,đau_đầu_nhẹ"
D003,Viêm họng và Viêm Amidan cấp,"amidan_sưng_to,có_đốm_trắng_ở_amidan,đau_hạch_cổ,sốt_cao_đột_ngột,hơi_thở_có_mùi,mất_giọng"
D003,Viêm họng và Viêm Amidan cấp,"đau_rát_họng,đau_khi_nuốt,sốt_nhẹ,ho_ít,khàn_giọng"
D003,Viêm họng và Viêm Amidan cấp,"amidan_có_mủ,họng_đỏ,buồn_nôn,nuốt_nghẹn,đau_đầu_vùng_trán"
D003,Viêm họng và Viêm Amidan cấp,"cảm_giác_nóng_rát_cổ,nuốt_vướng,sốt,mệt_mỏi,ho_khan,họng_sung_huyết"
D003,Viêm họng và Viêm Amidan cấp,"amidan_sưng_to,hạch_cổ_sưng,sốt_cao,đau_sâu_trong_họng,ói_mửa"
D003,Viêm họng và Viêm Amidan cấp,"đau_họng,ho_nhẹ,khó_nuốt,niêm_mạc_họng_đỏ,đau_đầu_âm_ỉ"
D003,Viêm họng và Viêm Amidan cấp,"có_chất_tiết_màu_trắng/vàng_trên_amidan,sưng_họng,sốt_cao_đột_ngột,chạm_vào_hạch_thấy_đau"
